Authors,Title,Year,Sourcetitle,Cited,Link,Abstract,aKeywords,iKeywords,References,Document Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Davis G.W., Schuster C.M., Goodman C.S.",Genetic dissection of structural and functional components of synaptic plasticity. III. CREB is necessary for presynaptic functional plasticity,1996,Neuron,189,http://www.scopus.com/inward/record.url?eid=2-s2.0-0030273772&partnerID=40&md5=f69c437a6f58d3e7db3fb189e1599b72,"Increased cAMP (in dunce mutants) leads to an increase in the structure and function of the Drosophila neuromuscular junction. Synaptic Fasciclin II (Fas II) controls this structural plasticity, but does not alter synaptic function. Here, we show that CREB, the cAMP response element-binding protein, acts in parallel with Fas II to cause an increase in synaptic strength. Expression of the CREB repressor (dCREB2-b) in the dunce mutant blocks functional but not structural plasticity. Expression of the CREB activator (dCREB2-a) increases synaptic strength only in FasII mutants that increase bouton number. This CREB-mediated increase in synaptic strength is due to increased presynaptic transmitter release. Expression of dCREB2-a in a FasII mutant background genetically reconstitutes this cAMP-dependent plasticity. Thus, cAMP initiates parallel changes in CREB and Fas II to achieve long- term synaptic enhancement.",,"cyclic amp; transcription factor; article; nerve cell plasticity; neuromuscular synapse; neurotransmitter release; nonhuman; priority journal; protein expression; signal transduction; Animals; Animals, Genetically Modified; Cell Adhesion Molecules, Neuronal; Cyclic AMP; Cyclic AMP Response Element-Binding Protein; Drosophila; Drosophila Proteins; Evoked Potentials; Gene Expression; Larva; Membrane Potentials; Muscle Fibers; Neuromuscular Junction; Neuronal Plasticity; Neurons; Repressor Proteins; Synapses; Trans-Activators","Atwood, H.L., Govind, C.K., Wu, C.-F., Differential ultrastructure of synaptic terminals on ventral longitudinal abdominal muscles in Drosophila larvae (1993) J. Neurobiol., 24, pp. 1008-1024; Auld, V.J., Fetter, R.D., Broadie, K., Goodman, C.S., Gliotactin, a novel transmembrane protein on peripheral glia, is required to form the peripheral blood-nerve barrier in Drosophila (1995) Cell, 81, pp. 757-767; Bailey, C.H., Montarolo, P., Chen, M., Kandel, E.R., Schacher, S., Inhibitors of protein and RNA synthesis block structural changes that accompany long-term heterosynaptic plasticity in Aplysia (1992) Neuron, 9, pp. 749-758; Bartsch, D., Ghirardi, M., Skehel, P.A., Karl, K.A., Herder, S.P., Chen, M., Bailey, C.H., Kandel, E.R., Aplysia CREB2 represses long-term facilitation: Relief of repression converts transient facilitation into long-term functional and structural change (1995) Cell, 83, pp. 979-992; Bourtchuladze, R., Frenguelli, B., Blendy, J., Cioffi, D., Schultz, G., Silva, A.J., Deficient long-term memory in mice with a targeted mutation of the cAMP-responsive element-binding protein (1994) Cell, 79, pp. 59-68; Boyd, I.A., Martin, A.R., The end plate potential in mammalian muscle (1956) J. Physiol. (Lond.), 132, pp. 74-91; Brunelli, M., Castellucci, V.F., Kandel, E.R., Synaptic facilitation and behavioral sensitization in Aplysia: Possible role of serotonin and cyclic AMP (1976) Science, 194, pp. 1178-1181; Budnik, V., Zhong, Y., Wu, C.-F., Morphological plasticity of motor axons in Drosophila mutants with altered excitability (1990) J. Neurosci., 10, pp. 3754-3768; Castellucci, V.F., Kandel, E.R., Schwartz, J.H., Wilson, A.C., Nairn, A., Greengard, P., Intracellular injection of the catalytic subunit of cyclic AMP-dependent protein kinase stimulates facilitation of transmitter release underlying behavioral sensitization in Aplysia (1980) Proc. Natl. Acad. Sci. USA, 77, pp. 7492-7496; Dash, P.K., Hochner, B., Kandel, E.R., Injection of the cyclic AMP responsive element into the nucleus of Aplysia sensory neurons blocks long-term facilitation (1990) Nature, 345, pp. 718-721; Evens, M., Hastings, N., Peacock, B., (1993) Statistical Distributions, Second Edition, , New York: John Wiley; Gonzalez, G.A., Yamamoto, K.K., Fischer, W.H., Karr, D., Menzel, P., Biggs W. III, Vale, W.W., Montminy, M.R., A cluster of phosphorylation sites on the cyclic AMP-regulated nuclear factor CREB predicted by its sequence (1989) Nature, 337, pp. 749-752; Grenningloh, G., Rehm, E.J., Goodman, C.S., Genetic analysis of growth cone guidance in Drosophila: Fasciclin II functions as a neuronal recognition molecule (1991) Cell, 67, pp. 45-57; Huang, Y.Y., Li, X.C., Kandel, E.R., cAMP contributes to mossy fiber LTP by initiating both a covalently mediated early phase and macromolecular synthesis-dependent late phase (1994) Cell, 79, pp. 69-79; Hunter, T., Karin, M., The regulation of transcription by phosphorylation (1992) Cell, 70, pp. 375-387; Jan, L.Y., Jan, Y.N., Properties of the larval neuromuscular junction in Drosophila melanogaster (1976) J. Physiol. (Lond.), 262, pp. 189-214; Korn, H., Faber, D.S., Quantal analysis and synaptic efficacy in the CNS (1991) Trends Neurosci., 14, pp. 439-445; Kurdyak, P., Atwood, H.L., Stewart, B.A., Wu, C.-F., Differential physiology and morphology of motor axons to ventral longitudinal muscles in larval Drosophila (1994) J. Comp. Neurol., 350, pp. 463-472; Martin, A.R., A further study of the statistical composition of the end-plate potential (1955) J. Physiol. (Lond.), 130, pp. 114-122; Montorolo, P.G., Goelet, P., Castellucci, V.F., Morgan, J., Kandel, E.R., Schacher, S., A critical time window for macromolecular synthesis in long-term heterosynaptic facilitation in Aplysia (1986) Science, 234, pp. 1249-1254; Nishikawa, K.-I., Kidokoro, Y., Junctional and extrajunctional glutamate receptor channels in Drosophila embryos and larvae (1995) J. Neurosci., 15, pp. 7905-7915; Olson, N.J., Masse, T., Suzuki, T., Chen, J., Alam, D., Kelly, P.T., Functional identification of the promoter for the gene encoding the ë± subunit of the calcium/calmodulin-dependent protein kinase II (1995) Proc. Natl. Acad. Sci. USA, 92, pp. 1659-1663; Sassone-Corsi, P., Visvader, J., Ferland, L., Mellon, P.L., Verma, I.M., Induction of proto-oncogene fos transcription through adenylate cyclase pathway: Characterization of cAMP-responsive element (1988) Genes Dev., 2, pp. 1529-1538; Sauerwald, A., Hoesche, C., Oschwald, R., Killman, M.W., 5‰Û_-flanking region of the synapsin I gene: A G+C-rich, TATA-and CAAT-less, phylogenetically conserved sequence with cell type-specific promoter function (1990) J. Biol. Chem., 265, pp. 14932-14937; Schacher, S., Castellucci, V.F., Kandel, E.R., cAMP evokes long-term facilitation in Aplysia sensory neurons that requires new protein synthesis (1988) Science, 240, pp. 1667-1669; Schuster, C.M., Davis, G.W., Fetter, R.F., Goodman, C.S., Genetic dissection of structural and functional components of synaptic plasticity. I. Fasciclin II controls synaptic stabilization and growth (1996) Neuron, 17. , this issue; Schuster, C.M., Davis, G.W., Fetter, R.F., Goodman, C.S., Genetic dissection of structural and functional components of synaptic plasticity. II. Fasciclin II controls presynaptic structural plasticity (1996) Neuron, 17. , this issue; Stewart, B.A., Atwood, H.L., Renmger, J.J., Wang, J., Wu, C.-F., Improved stability of Drosophila larval neuromuscular preparations in haemolymph-like physiological solutions (1994) J. Comp. Physiol., 175, pp. 179-191; Stewart, B.A., Schuster, C.M., Goodman, C.S., Atwood, H.L., Homeostasis of synaptic transmission in Drosophila with genetically altered nerve terminal morphology (1996) J. Neurosci., 16, pp. 3877-3886; Weisskopf, M.G., Castillo, P.E., Zalutsky, R.A., Nichol, R.A., Mediation of hippocampal mossy fiber long-term potentiation by cyclic AMP (1994) Science, 265, pp. 1878-1882; Yin, J.C.P., Wallach, J.S., Del Veccchio, M., Wilder, E.L., Zhou, H., Quinn, W.G., Tully, T., Induction of a dominant negative CREB transgene specifically blocks long-term memory in Drosophila (1994) Cell, 79, pp. 49-58; Yin, J.C.P., Del Vecchio, M., Zhou, H., Tully, T., CREB as a memory modulator: Induced expression of a dCREB2 activator isoform enhances long-term memory in Drosophila (1995) Cell, 81, pp. 107-115; Zhong, Y., Wu, C.-F., Altered synaptic plasticity in Drosophila memory mutant with altered cAMP cascade (1991) Science, 251, pp. 1562-1564; Zhong, Y., Budnik, V., Wu, C.-F., Synaptic plasticity in Drosophila memory and hyperexcitable mutants: Role of cAMP cascade (1992) J. Neurosci., 12, pp. 644-651",Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaang B.-K., Kandel E.R., Grant S.G.N.",Activation of cAMP-responsive genes by stimuli that produce long-term facilitation in Aplysia sensory neurons,1993,Neuron,188,http://www.scopus.com/inward/record.url?eid=2-s2.0-0027416894&partnerID=40&md5=fa06f60202568cac9d0819fc8ad74371,"One of the hallmarks of long-term memory in both vertebrates and invertebrates is the requirement for new protein synthesis. In sensitization of the gill-withdrawal reflex in Aplysia, this requirement can be studied on the cellular level. Here, long-term but not short-term facilitation of the monosynaptic connections between the sensory and motor neurons requires new protein synthesis and is reflected in an altered level of expression of specific proteins regulated through the cAMP second-messenger pathway. Using gene transfer into individual sensory neurons of Aplysia, we find that serotonin (5-HT) induces transcriptional activation of a lacZ reporter gene driven by the cAMP response element (CRE) and that this induction requires CRE-binding proteins (CREBs). The induction by 5-HT does not occur following a single pulse, but becomes progressively more effective following two or more pulses. Moreover, expression of GAL4-CREB fusion genes shows that 5-HT induction requires phosphorylation of CREB on Ser119 by protein kinase A. These data provide direct evidence for CREB-modulated transcriptional activation with long-term facilitation.",,"cyclic amp; cyclic amp dependent protein kinase; serine; serotonin; animal cell; article; facilitation; gene activation; gene fusion; gene induction; gene transfer; long term memory; monosynaptic reflex; motoneuron; nonhuman; priority journal; protein induction; protein phosphorylation; reporter gene; sensory nerve cell; signal transduction; transcription initiation; Animal; Aplysia; Base Sequence; Cyclic AMP; Gene Amplification; Gene Expression Regulation; Lac Operon; Molecular Probes; Molecular Sequence Data; Neurons, Afferent; Phosphorylation; Serotonin; Support, Non-U.S. Gov't; Trans-Activation (Genetics); Transcription, Genetic",,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malinow R., Madison D.V., Tsien R.W.",Persistent protein kinase activity underlying long-term potentiation,1988,Nature,188,http://www.scopus.com/inward/record.url?eid=2-s2.0-0023790503&partnerID=40&md5=42b7cd9ef59abe35a833843f20b5d268,"Long-term potentiation (LTP) of synaptic transmission in the hippocampus is a much-studied example of synaptic plasticity. Although the role of N-methyl-D-aspartate (NMDA) receptors in the induction of LTP is well established, the nature of the persistent signal underlying this synaptic enhancement is unclear. Involvement of protein phosphorylation in LTP has been widely proposed, with protein kinase C (PKC) and calcium-calmodulin kinase type II (CaMKII) as leading candidates. Here we test whether the persistent signal in LTP is an enduring phosphoester bond, a long-lived kinase activator, or a constitutively active protein kinase by using H-7, which inhibits activated protein kinases and sphingosine, which competes with activators of PKC and CaMKII. H-7 suppressed established LTP, indicating that the synaptic potentiation is sustained by persistent protein kinase activity rather than a stably phosphorylated substrate. In contrast, sphingosine did not inhibit established LTP, although it was effective when applied before tetanic stimulation. This suggests that persistent kinase activity is not maintained by a long-lived activator, but is effectively constitutive. Surprisingly, the H-7 block of LTP was reversible; evidently, the kinase directly underlying LTP remains activated even though its catalytic activity is interrupted indicating that such kinase activity does not sustain itself simply through continual autophosphorylation.",,"protein kinase; animal cell; hippocampus; letter; nonhuman; priority journal; rat; synaptic transmission; 1-(5-Isoquinolinesulfonyl)-2-methylpiperazine; Animal; Binding, Competitive; Calcium; Calmodulin; Electrophysiology; Enzyme Activation; Hippocampus; Isoquinolines; Phorbol Esters; Phosphorylation; Piperazines; Protein Kinase C; Protein Kinases; Rats; Receptors, N-Methyl-D-Aspartate; Receptors, Neurotransmitter; Sphingosine; Support, Non-U.S. Gov't; Support, U.S. Gov't, P.H.S.; Synapses; Synaptic Transmission",,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PENFIELD W., MILNER B.",Memory deficit produced by bilateral lesions in the hippocampal zone.,1958,A. M. A. archives of neurology and psychiatry,185,http://www.scopus.com/inward/record.url?eid=2-s2.0-33847458194&partnerID=40&md5=542749bf1d2b7eba50a9687b545139ca,[No abstract available],,article; hippocampus; HIPPOCAMPUS/physiology; memory; physiology; HIPPOCAMPUS/physiology; MEMORY; Hippocampus; Memory,,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feany M.B., Quinn W.G.",A neuropeptide gene defined by the Drosophila memory mutant amnesiac,1995,Science,181,http://www.scopus.com/inward/record.url?eid=2-s2.0-0029056734&partnerID=40&md5=7a000c56511ede641263e7d73f904bac,"Mutations in genes required for associative learning and memory in Drosophila exist, but isolation of the genes has been difficult because most are defined by a single, chemically induced allele. Here, a simplified genetic screen was used to identify candidate genes involved in learning and memory. Second site suppressors of the dunce (dnc) female sterility phenotype were isolated with the use of transposon mutagenesis. One suppressor mutation that was recovered mapped in the amnesiac (amn) gene. Cloning of the locus revealed that amn encodes a previously uncharacterized neuropeptide gene. Thus, with the cloning of amn, specific neuropeptides are implicated in the memory process.",,"neuropeptide; article; controlled study; drosophila; female; female sterility; gene function; gene isolation; gene mapping; gene mutation; learning; memory; molecular cloning; molecular genetics; mutagenesis; mutant; nonhuman; priority journal; suppressor gene; transposon; Amino Acid Sequence; Animal; Cloning, Molecular; Codon; DNA Transposable Elements; DNA, Complementary; Drosophila; Female; Genes, Insect; Male; Memory; Molecular Sequence Data; Mutagenesis, Insertional; Mutation; Neuropeptides; Sequence Homology, Amino Acid; Somatotropin-Releasing Hormone; Support, U.S. Gov't, Non-P.H.S.; Support, U.S. Gov't, P.H.S.; Suppression, Genetic",,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Byers D., Davis R.L., Kiger Jr. J.A.",Defect in cyclic AMP phosphodiesterase due to the dunce mutation of learning in Drosophila melanogaster,1981,Nature,179,http://www.scopus.com/inward/record.url?eid=2-s2.0-0019350704&partnerID=40&md5=a7258ddc43de2bc13f344388f3f2870d,[No abstract available],,"cyclic amp; phosphodiesterase; animal experiment; arthropod; drosophila melanogaster; heredity; learning; mutant; psychological aspect; 3',5'-Cyclic-Nucleotide Phosphodiesterase; Animal; Behavior, Animal; Chromosomes; Cyclic AMP; Drosophila melanogaster; Learning; Mutation; Smell; Support, U.S. Gov't, Non-P.H.S.; Support, U.S. Gov't, P.H.S.",,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milner B.,"Visually-guided maze learning in man: Effects of bilateral hippocampal, bilateral frontal, and unilateral cerebral lesions",1965,Neuropsychologia,176,http://www.scopus.com/inward/record.url?eid=2-s2.0-0000787906&partnerID=40&md5=9afa46bc2518ccbf187a36f958503b2e,"Seventy-nine patients with different cerebral lesions were trained on a visually- guided stylus maze. The main findings were: (1) bilateral hippocampal lesions produced the most severe impairment, with one patient showing no progress in 215 trials; (2) right temporal lobectomy produced a significant deficit, particularly when the underlying hippocampus was radically excised, whereas patients with left temporal-lobe lesions of equal extent, or with small parietal-lobe lesions of either hemisphere, obtained normal scores; (3) larger lesions of frontal or right posterior cortex severely impaired maze learning, suggesting that size as well as locus of cortical lesion may be a factor in maze-performance; (4) only frontal-lobe lesions affected the ability to follow test instructions. å© 1965.",,,,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rogan M.T., Ledoux J.E.",LTP is accompanied by commensurate enhancement of auditory-evoked responses in a fear conditioning circuit,1995,Neuron,175,http://www.scopus.com/inward/record.url?eid=2-s2.0-0029093419&partnerID=40&md5=e2a2e4a1c5344425f4d18675df58dbc8,Transmission of auditory information from the medial geniculate body to the lateral nucleus of the amygdala is believed to be involved in the conditioning of fear responses to acoustic stimuli. This pathway exhibits LTP of electrically evoked field potentials after high frequency stimulation of the medial geniculate body. High frequency stimulation of the medial geniculate body also results in a long-lasting potentiation of a field potential in the lateral amygdala elicited by a naturally transduced acoustic stimulus. This demonstrates that natural information processing can make use of the physiological mechanisms set in motion by LTP induction.,,"amygdaloid nucleus; animal experiment; article; conditioning; controlled study; evoked auditory response; fear; long term potentiation; male; medial geniculate body; memory; nerve projection; nonhuman; priority journal; rat; Amygdala; Animal; Auditory Pathways; Behavior, Animal; Electric Conductivity; Evoked Potentials, Auditory; Fear; Geniculate Bodies; Long-Term Potentiation; Male; Membrane Potentials; Rats; Rats, Sprague-Dawley; Support, U.S. Gov't, P.H.S.; Time Factors",,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abel T., Martin K.C., Bartsch D., Kandel E.R.",Memory suppressor genes: Inhibitory constraints on the storage of long- term memory,1998,Science,174,http://www.scopus.com/inward/record.url?eid=2-s2.0-0032535968&partnerID=40&md5=2b9106f2befec8fe4fac52ef2d25ffc0,"Synaptic plasticity, the ability of neurons to alter the strength of their synaptic connections with activity and experience, is thought to play a critical role in memory storage. Molecular studies of gene expression during long-lasting synaptic plasticity related to memory storage initially focused on the identification of positive regulators. More recent work has revealed that the establishment of long-lasting synaptic plasticity and long-term memory also requires the removal of inhibitory constraints. By analogy to tumor supressor genes, which restrain cell proliferation, we propose that these inhibitory constraints on memory storage, which restrain synapse growth, be termed memory suppressor genes.",,"cyclic amp dependent protein kinase; animal cell; cell proliferation; drosophila; gene expression; growth regulation; human; human cell; long term memory; memory consolidation; nerve cell plasticity; nonhuman; priority journal; regulator gene; review; suppressor gene; Activating Transcription Factor 2; Animals; Ca(2+)-Calmodulin Dependent Protein Kinase; Cell Adhesion Molecules; Cyclic AMP Response Element-Binding Protein; Cyclic AMP-Dependent Protein Kinases; Genes; Memory; Nerve Tissue Proteins; Neuronal Plasticity; Repressor Proteins; Synapses; Transcription Factors; Transcription, Genetic","Bishop, J.M., (1991) Cell, 64, p. 235; Hunter, T., (1997) Cell, 88, p. 333; Levine, A.J., Cell, p. 323; Harris, H., Miller, O.J., Klein, G., Worst, P., Tachibana, T., (1969) Nature, 223, p. 363; Knudson, A.G., (1971) Proc. Natl. Acad. Sci. U.S.A., 68, p. 820; Ferguson, E.L., (1996) Curr. Opin. Genet. Dev., 6, p. 424; Schoenherr, C.J., Anderson, D.J., (1995) Science, 267, p. 1360; Dodd, J., Schuchardt, A., (1995) Cell, 81, p. 471; Abel, T., (1997) Cell, 88, p. 615; Bourtchouladze, R., (1994) Cell, 79, p. 59; Dash, P.K., Hochner, B., Kandel, E.R., (1990) Nature, 345, p. 718; Alberini, C., Ghirardi, M., Metz, R., Kandel, E.R., (1994) Cell, 76, p. 1099; Drain, P., Folkers, E., Quinn, W.G., (1991) Neuron, 6, p. 71; Davis, R.L., (1996) Physiol. Rev., 76, p. 299; Yin, J.C.P., (1994) Cell, 79, p. 49; Bartsch, D., (1995) Cell, 83, p. 979; Yin, J.C.P., Del Vecchio, M., Zhou, H., Tully, T., (1995) Cell, 81, p. 107; Bailey, C.H., Kandel, E.R., (1993) Annu. Rev. Physiol., 55, p. 397; Mayford, M., Barzilai, A., Keller, F., Schacher, S., Kandel, E.R., (1992) Science, 256, p. 638; Bailey, C.H., Chen, M., Keller, F., Kandel, E.R., Science, p. 645; Bailey, C.H., (1997) Neuron, 18, p. 913; Zhu, H., Wu, F., Schacher, S., (1994) J. Neurosci., 14, p. 6886; Fields, R.D., Itoh, K., (1996) Trends Neurosci., 19, p. 473; Martin, K.C., Kandel, E.R., (1996) Neuron, 17, p. 567; Schuster, C.M., Davis, G.W., Fetter, R.D., Goodman, C.S., (1996) Neuron, 17, p. 641; Neuron, p. 655; Davis, G.W., Schuster, C.M., Goodman, C.S., Neuron, p. 669; Muller, D., Neuron, p. 413; Greenberg, S.M., Castellucci, V.F., Bayley, H., Schwartz, J.H., (1987) Nature, 329, p. 62; Bergold, P.J., (1990) Proc. Natl. Acad. Sci. U.S.A., 87, p. 3788; Hegde, A.N., Goldberg, A.L., Schwartz, J.H., (1993) Proc. Natl. Acad. Sci. U.S.A., 90, p. 7436; Hersko, A., (1994) J. Biol. Chem., 269, p. 4940; Palombella, V.J., Rando, O.J., Goldberg, A.L., Maniatis, T.P., (1994) Cell, 78, p. 773; Hegde, A.N., (1997) Cell, 89, p. 115; Martin, K.C., (1997) Neuron, 18, p. 899; Blitzer, R.D., Wong, T., Nouranifar, R., Iyengar, R., Landau, E.M., (1996) Neuron, 15, p. 1403; Mansuy, I.M., Mayford, M., Jacob, B., Kandel, E.R., Bach, M.E., (1998) Cell, 92, p. 39; Winder, D.G., Mansuy, I.M., Osman, M., Moallem, T.M., Kandel, E.R., Cell, p. 25; Rescorla, R.A., (1988) Annu. Rev. Neurosci., 11, p. 329; Kogan, J.M., (1996) Curr. Biol., 7, p. 1; Carew, T.J., Pinsker, H.M., Kandel, E.R., (1972) Science, 175, p. 451; Pinsker, H.M., Hening, W.A., Carew, T.J., Kandel, E.R., (1973) Science, 182, p. 1039; McGaugh, J.L., Cahill, L., Roozendaal, B., (1996) Proc. Natl. Acad. Sci. U.S.A., 93, p. 13508; Goelet, P., Castellucci, V.F., Schacher, S., Kandel, E.R., (1986) Nature, 322, p. 419; Nestler, E.J., Aghajanian, G.K., (1997) Science, 278, p. 58; note",Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winocur G.,Anterograde and retrograde amnesia in rats with dorsal hippocampal or dorsomedial thalamic lesions,1990,Behavioural Brain Research,174,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025305857&partnerID=40&md5=c356544f8540cee7abcc15d5793bd643,"The present research was concerned with anterograde and retrograde memory for a socially transmitted food preference in rats with lesions to the dorsal hippocampus or dorsomedial thalamus, and operated controls. In Expt. 1, food-preference training was administered postoperatively and memory was tested following various delays. Both lesioned groups acquired the preference normally, but rats with hippocampal lesions displayed a rapid rate of forgetting that indicated significant anterograde amnesia. In Expt. 2, the food preference was acquired at different times preoperatively and retrogade memory was tested postoperatively. Both lesioned groups exhibited loss of memory when training immediatly preceded surgery, but only rats with hippocampal lesions displayed a temporally-graded retrogade amnesia. The results confirmed the differential effects of hippocampal and thalamic lesions on memory performance. It was suggested that memory loss following thalamic lesions was related to factors associated with original learning, whereas the pattern of hippocampal amnesia reflected disruption at a later stage in the learning process.",Anterograde amnesia; Hippocampus; Retrograde amnesia; Thalamus,"amnesia; animal experiment; article; brain injury; hippocampus; learning; male; memory; nonhuman; priority journal; psychological aspect; rat; thalamus; Animal; Brain Mapping; Food Preferences; Hippocampus; Male; Memory; Mental Recall; Rats; Rats, Inbred Strains; Retention (Psychology); Support, Non-U.S. Gov't; Taste; Thalamic Nuclei",,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
